,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1481,1808,,,,1808,,,,,Off She Goes Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP873943.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1482,1823,,,,1823,,,,,An Old Poacher Caught in a Snare Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP873816.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1483,1810,,,,1810,,,,,Doctor Drainbarrel Conveyed Home in order to Take His Trial for Neglect of Family Duty Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884771.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1484,1810,,,,1810,,,,,Peter Plumb's Diary Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884805.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1485,1811,,,,1811,,,,,Life and Death of the Race Horse Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP884779.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1486,1810,,,,1810,,,,,Doctor Drainbarrel Conveyed Home in order to Take His Trial for Neglect of Family Duty Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884772.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1487,1810,,,,1810,,,,,Peter Plumb's Diary Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884804.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1488,1810,,,,1810,,,,,"Dying for Love, or Captain Careless, Shot Flying by a Girl of Fifteen who Unexpectedly Popped Her Head out of a Casement Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884802.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1489,1811,,,,1819,,,,,Life and Death of the Race Horse Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP884780.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1490,1811,,,,1816,,,,,"Rural Sports, Smock Racing Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884799.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1491,1814,,,,1814,,,,,Bloody Boney the Carcass Butcher Left of Trade and Retiring to Scarecrow Island Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884503.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1492,1810,,,,1811,,,,,"Dying for Love, or Captain Careless, Shot Flying by a Girl of Fifteen who Unexpectedly Popped Her Head out of a Casement Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884803.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1493,1811,,,,1811,,,,,"Rural Sports, or an Old Mole Catcher in Full Scent Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884796.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1494,1814,,,,1814,,,,,Bloody Boney the Carcass Butcher Left of Trade and Retiring to Scarecrow Island Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884502.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1495,1812,,,,1812,,,,,A Seaman's Wife's Reckoning Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884506.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1496,1813,,,,1813,,,,,"Bachelor's Fare, Bread, Cheese, and Kisses Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884493.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1497,1812,,,,1812,,,,,A Seaman's Wife's Reckoning Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884507.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1498,1790,,,,1799,,,,,"Guercino Self-Portrait Print Etching, printed in brown ink; second state of two","Etching, printed in brown ink; second state of two",https://images.metmuseum.org/CRDImages/dp/original/DP880443.jpg,Francesco Bartolozzi,"Italian, Florence 1728–1815 Lisbon",,,,
1499,1810,,,,1810,,,,,Dram-a-tic Demireps at their Morning Rehearsal Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883705.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1500,1808,,,,1818,,,,,Doncaster Fair or the Industrious Yorkshirebites Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884081.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1501,1813,,,,1813,,,,,The Breakfast Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP883909.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1502,1813,,,,1813,,,,,The Spa Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP883899.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1503,1813,,,,1813,,,,,Spa Terrace Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP883914.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1504,1813,,,,1813,,,,,Shower Bath Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP883905.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1505,1814,,,,1814,,,,,Crimping a Quaker Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883995.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1506,1813,,,,1813,,,,,The Library Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP883906.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1507,1815,,,,1815,,,,,Slap-Bang Shop Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884181.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1508,1801,,,,1801,,,,,Newmarket: A Shot at a Pigeon Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP879294.jpg,James Bretherton,"British, active 1750–99",,,,
1509,1796,,,,1796,,,,,Real Inhabitants of This Earth Print Stipple engraving and etching,Stipple engraving and etching,https://images.metmuseum.org/CRDImages/dp/original/DP879276.jpg,George Shepheard,"British, 1770–1842",,,,
1510,1801,,,,1801,,,,,Newmarket: A Shot at a Hawk Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP879295.jpg,James Bretherton,"British, active 1750–99",,,,
1511,1796,,,,1796,,,,,Love at First Sight Print Stipple engraving and etching,Stipple engraving and etching,https://images.metmuseum.org/CRDImages/dp/original/DP879277.jpg,George Shepheard,"British, 1770–1842",,,,
1512,1807,,,,1807,,,,,"A Mistake at New Market, or Sport and Piety Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884682.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1513,1807,,,,1807,,,,,"A Mistake at New Market, or Sport and Piety Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884683.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1514,1810,,,,1810,,,,,Dram-a-tic Demireps at their Morning Rehearsal Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883715.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1515,1811,,,,1811,,,,,A Milk Sop Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883755.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1516,1810,,,,1810,,,,,Bath Races Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883719.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1517,1810,,,,1810,,,,,A Table D'Hote or French Ordinary in Paris Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883708.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1518,1811,,,,1811,,,,,"Rural Sports, or an Old Mole Catcher in Full Scent Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883767.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1519,1780,,,,1800,,,,,A Barber's Shop Print Etching and aquatint; later reissue,Etching and aquatint; later reissue,https://images.metmuseum.org/CRDImages/dp/original/DP880241.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1520,1810,,,,1810,,,,,A Table D'Hote or French Ordinary in Paris Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883709.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1521,1811,,,,1811,,,,,A Templar at His Studies Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883769.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1522,1811,,,,1811,,,,,"Rural Sports, or How to Show Off a Well Shaped Leg Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883779.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1524,1854,,,,1854,,,,,"Temperance, but No Maine Law Print Lithograph",Lithograph,https://images.metmuseum.org/CRDImages/dp/original/DR183.jpg,Augustus Fay,"American, born ca. 1824, active 1840–60",,,,
1525,1778,,,,1778,,,,,"The Wager Won Drawing Pen and brown ink, brown wash, over traces of graphite","Pen and brown ink, brown wash, over traces of graphite",https://images.metmuseum.org/CRDImages/dp/original/DP807760.jpg,Jean Michel Moreau le Jeune,"French, Paris 1741–1814 Paris",,,,
1526,1806,,,,1806,,,,,Wie Till zur Barbier durch's Fenster kömt (How Till Eupenspiegel Came In Through the Barber's Window) Print Outline engraving and etching,Outline engraving and etching,https://images.metmuseum.org/CRDImages/dp/original/DP860047.jpg,Johann Heinrich Lips,"Swiss, Kloten 1758–1817 Zurich",,,,
1527,1745,,,,1745,,,,,"Marriage A-la-Mode, Plate II Print Etching and engraving; second state of four",Etching and engraving; second state of four,https://images.metmuseum.org/CRDImages/dp/original/DP827169.jpg,Bernard Baron,"French, Paris 1696–1762 London",,,,
1528,1750,,,,1780,,,,,"Landscape with Figures and Fortifications Drawing Pen and dark brown ink, brush and black brown ink, over red chalk for the two figures at the left first plan.","Pen and dark brown ink, brush and black brown ink, over red chalk for the two figures at the left first plan.",https://images.metmuseum.org/CRDImages/dp/original/DP820514.jpg,Guercino (Giovanni Francesco Barbieri),"Italian, Cento 1591–1666 Bologna",,,,
1529,1816,,,,1816,,,,,"Plate 15, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884050.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1530,1816,,,,1816,,,,,"Plate 4: Recruiting, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884039.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1531,1816,,,,1816,,,,,"Plate 23, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884058.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1532,1816,,,,1816,,,,,"Plate 6: The Ale-House Door, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884044.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1533,1816,,,,1816,,,,,"Plate 11, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884046.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1534,1816,,,,1816,,,,,"Plate 5, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884040.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1535,1816,,,,1816,,,,,"Plate 26: A Flying Wagon, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884061.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1536,1816,,,,1816,,,,,"Plate 32, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884067.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1537,1816,,,,1816,,,,,"Plate 20, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884055.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1538,1816,,,,1816,,,,,"Plate 33, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884068.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1539,1816,,,,1816,,,,,"Plate 17, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884052.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1540,1816,,,,1816,,,,,"Plate 18, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884053.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1541,1816,,,,1816,,,,,"Plate 36, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884071.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1542,1816,,,,1816,,,,,"Plate 40, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884075.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1543,1816,,,,1816,,,,,"Plate 35, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884070.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1544,1630,,,,1645,,,,,"Study of a Palm Tree (recto); Mountain Landscape (verso) Drawing Pen and brown ink, over traces of black chalk (recto); pen and brown ink (verso)","Pen and brown ink, over traces of black chalk (recto); pen and brown ink (verso)",https://images.metmuseum.org/CRDImages/dp/original/DP807958.jpg,Nicolas Poussin,"French, Les Andelys 1594–1665 Rome",,,,
1545,1761,,,,1842,,,,,"A Peasant Leading his Horse on the Outskirts of a Wood Drawing Gouache, over traces of graphite; framing line in gold","Gouache, over traces of graphite; framing line in gold",https://images.metmuseum.org/CRDImages/dp/original/DP800094.jpg,Pieter Barbiers II,"Dutch, Amsterdam 1749–1842 Amsterdam",,,,
1548,1816,,,,1816,,,,,"Plate 21, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884056.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1549,1816,,,,1816,,,,,"Plate 16, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884051.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1550,1816,,,,1816,,,,,"Plate 2, from ""World in Miniature"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884037.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1551,1808,,,,1808,,,,,The Art of Ingeniously Tormenting Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP873900.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1552,1799,,,,1799,,,,,"Cries of London, No. 4: Do You Want Any Brickdust? Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP872199.jpg,Henri Merke,"Swiss, Niederweningen, canton Zürich ca. 1760–after 1820",,,,
1553,1799,,,,1799,,,,,"Cries of London: No.1: Buy a Trap, a Rat-Trap Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP872196.jpg,Henri Merke,"Swiss, Niederweningen, canton Zürich ca. 1760–after 1820",,,,
1554,1799,,,,1799,,,,,"Cries of London, No. 3: Last Dying Speech and Confession Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP872198.jpg,Henri Merke,"Swiss, Niederweningen, canton Zürich ca. 1760–after 1820",,,,
1555,1802,,,,1802,,,,,School for Modern Romans Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP873717.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1556,1808,,,,1808,,,,,"Corn Exchange, Mark Lane Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP880685.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1557,1808,,,,1808,,,,,The Art of Ingeniously Tormenting Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP881743.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1558,1798,,,,1798,,,,,"Comforts of Bath, Plate 12 Print Etching and aquatint",Etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP872158.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1559,1784,,,,1784,,,,,The Westminster Watchman Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP880328_ff.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1560,1817,,,,1817,,,,,"The Social Evening, from ""The Vicar of Wakefield"" Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884086.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1561,1817,,,,1817,,,,,"The Esquire's Intrusion, from ""The Vicar of Wakefield"" Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884087.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1562,1817,,,,1817,,,,,The Family Picture Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884099.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1563,1817,,,,1817,,,,,The Vicar in company with Strolling Players Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884101.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1564,1817,,,,1817,,,,,"The Gross of Green Spectacles, from ""The Vicar of Wakefield"" Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884098.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1565,1817,,,,1817,,,,,"Mr. Burchell's First Visit, from ""The Vicar of Wakefield"" Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884085.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1566,1817,,,,1817,,,,,Attendance on a Nobleman Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884097.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1567,1817,,,,1817,,,,,"The Scold, with News of Olivia Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884094.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1568,1817,,,,1817,,,,,The Vicar Selling his Horse Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884091.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1569,1817,,,,1817,,,,,"Fortune-telling, from ""The Vicar of Wakefield"" Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884096.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1570,1822,,,,1822,,,,,"A View of Camelford, Cornwall Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884223.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1571,1822,,,,1822,,,,,"Village of St. Udy, Cornwall Print Hand-colored etching and aquatint",Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884233.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1572,1800,,,,1800,,,,,"Inside of a Kitchen at Newcastle, from ""Remarks on a Tour to North and South Wales, in the year 1797"" Print Etching and aquatint",Etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP884255.jpg,John Hill,"British, ca. 1714–1775",,,,
1573,1799,,,,1799,,,,,"Borders for Rooms & Halls, Plate 8 Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884452.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1574,1778,,,,1778,,,,,"Venus and Adonis Drawing Black chalk, heightened with white, over stumped charcoal, on beige paper","Black chalk, heightened with white, over stumped charcoal, on beige paper",https://images.metmuseum.org/CRDImages/dp/original/175859.jpg,François André Vincent,"French, Paris 1746–1816 Paris",,,,
1575,1778,,,,1778,,,,,"Diana and Acteon Drawing Black chalk heightened with white, over stumped charcoal, on beige paper","Black chalk heightened with white, over stumped charcoal, on beige paper",https://images.metmuseum.org/CRDImages/dp/original/DP228700.jpg,François André Vincent,"French, Paris 1746–1816 Paris",,,,
1577,1778,,,,1778,,,,,Dogs and Still Life Print Etching and engraving,Etching and engraving,https://images.metmuseum.org/CRDImages/dp/original/DP874651.jpg,Pierre Charles Canot,"French, Paris 1710–1777 Kentish Town, London (active England)",,,,
1580,1842,,,,1845,,,,,Essais d'autographie/ Essai de physiognomie Book Lithograph,Lithograph,https://images.metmuseum.org/CRDImages/dp/original/DP242860.jpg,Rodolphe Töpffer,"Swiss, 1799–1846",,,,
1583,1864,,,,1864,,,,,The Old Bull Dog on the Right Track Print Lithograph,Lithograph,https://images.metmuseum.org/CRDImages/dp/original/DP-21518-001.jpg,Currier & Ives,"American, active New York, 1857–1907",,,,
1584,1810,,,,1815,,,,,"Joseph and Karl August von Klein Painting, miniature Ivory",Ivory,https://images.metmuseum.org/CRDImages/ep/original/ep95.14.85.R.jpg,Heinrich Franz Schalck,"German, 1791–1832",,,,
1585,1695,,,,1730,,,,,"Plate 5: female figure on horseback and a male figure with a dog standing in a stream, pointing to a waterfall at left in the background, from 'Landscapes in the manner of Salvator Rosa' (Die Landschaften in Sal. Rosa's) Print Etching; third state of three",Etching; third state of three,https://images.metmuseum.org/CRDImages/dp/original/DP880694.jpg,Franz Joachim Beich,"German, Ravensburg 1665–1745 Munich",,,,
1586,1695,,,,1730,,,,,"Plate 3: two goats on a lakeshore, two male figures and a dog at right, another peasant approaching with a mule at left in the background, from 'Landscapes in the manner of Salvator Rosa' (Die Landschaften in Sal. Rosa's) Print Etching; second state of three",Etching; second state of three,https://images.metmuseum.org/CRDImages/dp/original/DP880696.jpg,Franz Joachim Beich,"German, Ravensburg 1665–1745 Munich",,,,
1587,1695,,,,1730,,,,,"Plate 5: female figure on horseback and a male figure with a dog standing in a stream, pointing to a waterfall at left in the background, from 'Landscapes in the manner of Salvator Rosa' (Die Landschaften in Sal. Rosa's) Print Etching",Etching,https://images.metmuseum.org/CRDImages/dp/original/DP880692.jpg,Franz Joachim Beich,"German, Ravensburg 1665–1745 Munich",,,,
1588,1750,,,,1750,,,,,"Marche du boeuf gras Print Etching, between second and third states","Etching, between second and third states",https://images.metmuseum.org/CRDImages/dp/original/DP814976.jpg,Gabriel de Saint-Aubin,"French, Paris 1724–1780 Paris",,,,
1590,1435,,,,1465,,,,,"Standing Youth Leaning on a Long Staff (recto); Seated Man (verso) Drawing Brush and gray wash, highlighted with brush and white gouache, on faded blue paper (recto); faint black chalk sketch of a seated man (verso)","Brush and gray wash, highlighted with brush and white gouache, on faded blue paper (recto); faint black chalk sketch of a seated man (verso)",https://images.metmuseum.org/CRDImages/dp/original/DP809428.jpg,Domenico Veneziano,"Italian, active by 1438–died 1461 Florence",,,,
1591,1807,,,,1807,,,,,"Christopher Crabtree in the Suds: ""Dear, dear what can the matter be"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP885269.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1592,1807,,,,1807,,,,,Miseries Personal Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP873884.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1593,1794,,,,1794,,,,,An Old Maid In Search of a Flea Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP872133.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1594,1798,,,,1798,,,,,"Private Drilling, No 5 Print Etching and aquatint",Etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP872183.jpg,Heinrich Joseph Schütz,"German, Frankfurt 1760–1822 Frankfurt",,,,
1595,1798,,,,1798,,,,,Between Heats [The Course] Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP872675.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1596,1799,,,,1799,,,,,Cit's Airing Themselves On A Sunday Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP872729.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1597,1805,,,,1812,,,,,Raising the Wind Print Hand colored etching,Hand colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP873770.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1598,1786,,,,1786,,,,,"A Box Lobby Hero, The Branded Bully, or The Ass Stripp'd of the Lion's Skin. Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP871895.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1599,1785,,,,1785,,,,,The Man of Feeling Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP871831.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1600,1785,,,,1785,,,,,The Man of Feeling Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP871832.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1601,1789,,,,1789,,,,,The Breakfast Print Hand-colored etching and aquatint,Hand-colored etching and aquatint,https://images.metmuseum.org/CRDImages/dp/original/DP872001.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
1602,1761,,,,1766,,,,,The Honorable Henry Fane (1739–1802) with Inigo Jones and Charles Blair Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP213052.jpg,Sir Joshua Reynolds,"British, Plympton 1723–1792 London",,,,
1603,1805,,,,1812,,,,,Raising the Wind Print Hand colored etching,Hand colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP881788.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
